type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,1,400,268,22,23,87
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,10,320,205,8,8,99
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,11,300,193,31,8,68
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,12,320,214,15,7,84
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,2,-1,377,-1,-1,-1
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,3,140,103,3,7,27
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,4,420,303,23,6,88
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,5,520,353,31,7,129
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,6,220,143,7,6,64
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,7,680,499,38,20,123
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,8,240,152,16,4,68
บช,ลำปาง,วังเหนือ,ทุ่งฮั้ว,9,240,144,20,15,61
บช,ลำปาง,วังเหนือ,บ้านใหม่,1,540,350,17,13,160
บช,ลำปาง,วังเหนือ,บ้านใหม่,2,420,299,20,9,92
บช,ลำปาง,วังเหนือ,บ้านใหม่,3,460,315,21,7,117
บช,ลำปาง,วังเหนือ,บ้านใหม่,4,560,351,32,17,160
บช,ลำปาง,วังเหนือ,ร่องเคาะ,1,720,366,33,12,309
บช,ลำปาง,วังเหนือ,ร่องเคาะ,10,300,194,5,3,98
บช,ลำปาง,วังเหนือ,ร่องเคาะ,11,280,192,10,13,65
บช,ลำปาง,วังเหนือ,ร่องเคาะ,12,440,197,15,6,222
บช,ลำปาง,วังเหนือ,ร่องเคาะ,13,380,167,12,2,199
บช,ลำปาง,วังเหนือ,ร่องเคาะ,14,340,237,11,7,85
บช,ลำปาง,วังเหนือ,ร่องเคาะ,15,320,220,21,4,75
บช,ลำปาง,วังเหนือ,ร่องเคาะ,16,400,285,23,13,79
บช,ลำปาง,วังเหนือ,ร่องเคาะ,17,340,203,17,6,114
บช,ลำปาง,วังเหนือ,ร่องเคาะ,18,380,242,10,2,126
บช,ลำปาง,วังเหนือ,ร่องเคาะ,2,340,216,19,8,97
บช,ลำปาง,วังเหนือ,ร่องเคาะ,3,380,235,27,11,107
บช,ลำปาง,วังเหนือ,ร่องเคาะ,4,720,502,32,16,170
บช,ลำปาง,วังเหนือ,ร่องเคาะ,5,300,199,9,0,92
บช,ลำปาง,วังเหนือ,ร่องเคาะ,6,400,290,11,6,93
บช,ลำปาง,วังเหนือ,ร่องเคาะ,7,460,264,20,7,169
บช,ลำปาง,วังเหนือ,ร่องเคาะ,8,660,467,45,28,120
บช,ลำปาง,วังเหนือ,ร่องเคาะ,9,660,448,19,13,180
บช,ลำปาง,วังเหนือ,วังซ้าย,1,160,89,11,0,60
บช,ลำปาง,วังเหนือ,วังซ้าย,10,360,258,19,5,78
บช,ลำปาง,วังเหนือ,วังซ้าย,2,340,237,13,8,82
บช,ลำปาง,วังเหนือ,วังซ้าย,3,500,334,25,7,134
บช,ลำปาง,วังเหนือ,วังซ้าย,4,520,344,32,5,139
บช,ลำปาง,วังเหนือ,วังซ้าย,5,480,313,27,17,123
บช,ลำปาง,วังเหนือ,วังซ้าย,6,320,223,18,11,68
บช,ลำปาง,วังเหนือ,วังซ้าย,7,420,294,21,9,96
บช,ลำปาง,วังเหนือ,วังซ้าย,8,520,350,36,8,126
บช,ลำปาง,วังเหนือ,วังซ้าย,9,360,238,32,6,84
บช,ลำปาง,วังเหนือ,วังทรายคำ,1,360,233,18,7,102
บช,ลำปาง,วังเหนือ,วังทรายคำ,2,320,224,11,13,72
บช,ลำปาง,วังเหนือ,วังทรายคำ,3,440,288,28,16,108
